description,category
The roads in my area are too dirty. The dustbins in our area are so badly kept . The bin shown in the image is in right front of the corporation office but still it remains the same.,Waste/Garbage
The man holes on the pedestrian path are not properly sealed and so they cause discomfort to whoever who walks past it. Whenever it rains the drainage overflows and it becomes smelly.,Potholes
I really thing cows are suppose to be kept in a safe and nice place instead  of  standing here and there at morning there would more than 5 cows which is  really disturbing  people even to stand .,Traffic/Parking
This is the condition for many years,Waste/Garbage
"Street lights are not working for past 2 years please do the need full.thank you
",Streetlights
"There are electrical wires hanging off the post. 
Many pedestrians commuting in that footpath find it difficult because of these wires . As a pedestrian I wouldn't like it to be hanging there .",Streetlights
A large no.  Of wastes are there near the dustbin. So the nearby buildings gets stinky smell. There are just throwing waste inside a plastic bag. Many cows roaming there eats the even the plastic bag.,Waste/Garbage
"Instead of keeping a garbage dump in the vacant land , we can plant more trees",Waste/Garbage
Garbage is blocking the pathway. The stench is also disgusting ,Waste/Garbage
Manholes are overflowing,Potholes
The waste comes out to the road most of the times which is difficult for vehicles to travel through that way as it blocks the upcoming vehicles.,Waste/Garbage
This place has been the major dump place for this area and it has been in this condition for many years. The government have not taken any step towards this problem even after repeated complaining.,Waste/Garbage
Garbage is dumped a lot under the triplicane railways station. The cows also feed on these,Waste/Garbage
Use of vehicles can be reduced and vehicles such as cycles can replace huge cars and the number of factories in our country can be reduced,Air
Garbage bin has been removed from our street.  No place to put our garbages. Please provide bin.,Waste/Garbage
It's not been clean from long time. It's stinking,Waste/Garbage
This is place in arunachalam road saligramam where this particular spot has been dug up for sewage cleaning and the road has not been laid properly yet.,Potholes
This is place in arunachalam road saligramam where this particular spot has been dug up for sewage cleaning and the road has not been laid properly yet.,Potholes
This is place in arunachalam road saligramam where this particular spot has been dug up for sewage cleaning and the road has not been laid properly yet.,Potholes
"A plastic bag once thrown in the ground take centuries together to degenerate. Since most of the plastic bags we use are not biodegradable,they would just break into small pieces and never decompose.",Waste/Garbage
Garbages(especially food waster) are thrown in road side. There are lot of mosquitos and flies are coming from there. ,Waste/Garbage
Government officials can solve the problem ,Waste/Garbage
Garbage (especially food waste) are thrown in road side. Lot of house flies and mosquitos are coming from there.,Waste/Garbage
Dustbin is full. And needs to be cleared,Waste/Garbage
Open drain in place of footpath at Hulimavu Gate. Caused by metro construction.,Sewage
Drainage covers strewn on roadside next to Hopcom,Waste/Garbage
"This is old and rusted signal in the platform of dav boys school,mogappair.chidren might get hurt here",Streetlights
"This garbage is beside my house which stinks a lot
",Waste/Garbage
This garbage dump is overfull and not noticed by the government.many street shop may get affected by this.,Waste/Garbage
"This is also near my house where people through the waste on the road side and go
",Waste/Garbage
"This a overfilled garbage not noticed by corporation.many road shop maight get affected from this
",Waste/Garbage
"Please make sure that we would keep a garbage disposal here
",Waste/Garbage
This is a car glass and branch in a platform.,Waste/Garbage
"Road was not been properly made.first the road was full of mud .then they came and put some pebbles and they left the road for 8 months.the cars and bikes are going in 70km speed .please repair these
",Potholes
"This wire is in the main road near golden flats
",Streetlights
This is a cow dong in the platform.people cross the road very sadly,Waste/Garbage
There is no proper drainage system and mosquitoes are laying eggs and people staying near the drainage are always getting dengue ,Potholes
Stray cattle on the road ,Waste/Garbage
This is a junction in arunachalam road . This particular place has been dug up by the sewage cleansing dept of chennai and has not relaid properly,Potholes
The garbage dumping in our area is not cleared very often and the cows and dogs are eating these plastics and one of the cow in our area was dead due to this garbages.the garbage can is broken pls fix,Waste/Garbage
Water is been not enough or fit for human use.,Water
"Dumping a lot of garbage in vacant land
",Waste/Garbage
There were so much of vehicles were parked. Old people gets disturbed by the parking of these vehicles and the corporation is not cooperating with us for clearing the wastes there were no response,Traffic/Parking
In many areas there are water scarcity but we still waste water. Some taps are leaking but we don't repair it. ,Water
Always ensure that your taps are in good condition . please don't waste water. Please close the tap tight . ,Water
This corporation garbage bin is near my home. It is really  polluting the atmosphere around and it is sad to see the animals eating the garbage. The surrounding looks unclean and this causes diseases.,Waste/Garbage
"Before the gate of DABC Mithilam apartment there is a  garbage dump and is eaten by the  dogs, cows. The garbage trucks don't clear it often. The photo above is showing the situation and the issue.",Waste/Garbage
"Open garbage is a health hazard . When the garbage is burnt, it causes air pollution and the smoke produced affects the people and animals and kill them too . This is   danger for people and children ",Waste/Garbage
"Drainage system left open
",Sewage
Smelly garbage lying on the drain ,Sewage
Garbage lying on pits,Waste/Garbage
Garbage lying on drain ,Sewage
Garbage stinking ,Waste/Garbage
Garbage over large pits,Waste/Garbage
A huge pile of garbage is lying on the road some cows eat them and also sleep on them,Waste/Garbage
Cloth bags lying along with plastics,Waste/Garbage
Because of this  problem many children's fell on the ground  while driveing  cycle ,Potholes
Garbage lying on the foot path,Waste/Garbage
There is water scarcity in our because the lorry had not came......,Waste/Garbage
Please try to stop water leakage and scarcity,Water
"In my nearby house there are full of rubbish and it is stinking 
Near the rubbish the current box also affected 
Pls enquiry this.... ",Waste/Garbage
"The drainage is broken people are throwing garbage in it
",Potholes
The school near my house known as Chennai public school and near it there are many vehicles parked on the middle of the road I suggest to install traffic light or traffic cop,Traffic/Parking
This slab is in the turning of the road,Potholes
There is no water in Chennai and water lekage,Water
This waste is in outside the apartment's compound,Waste/Garbage
People feel very to cross this damaged road ,Potholes
"Here,the wastage of all daily uses are dumped near a trasformer (current box) .It is dangerous and also the public is not mentioning,the govt. and sweepers also told.
I hope this issue will be cleared",Waste/Garbage
"Here,the garbages are dumped near a current box contains 1400 volt,it is very dangourous and also the public has lead the govt. And also to the sweepers to clean them.I hope this issue will be cleared",Waste/Garbage
In that it self people walk in that stamp it and go and causes air pollution becoz of the smell,Waste/Garbage
Garbage,Waste/Garbage
In my area because of water scarcity people have to fetch water every alternat days. They have stand in long qeuses for long hours.  ,Water
"More than 50 litres of water approximately wasted so please do something about this problem
",Water
I am from dav sr secondary school mogappair. Near our school we have many garbage created by the apartment near our school. Please do the needful,Waste/Garbage
"Garbage is all over the place especially on the roads 
",Waste/Garbage
It is too bumpy and rigid it is difficult for vehicles to get past.,Potholes
"It is difficult to get past this
",Potholes
Please clean this,Waste/Garbage
There is pothole in front of house,Potholes
Huge construction material ,Waste/Garbage
Broken pavements ,Potholes
High voltage electric stand on the footpath it's difficult to walk,Streetlights
Garbage ,Waste/Garbage
Waste and garbage,Waste/Garbage
There are 2 dustbins but garbage is thrown all around. Need to be cleaned. It's coming on road. Might lead to problems for people riding on road.,Waste/Garbage
It's right next to take. Long stretch of Garbage pile,Waste/Garbage
